Vehicle_Registration,VehicleType,Manufacturer,Profit_Centre
MV68XPJ,"PRV Ford",Ford,470
MF68KRV,"Small Citroen",Citroen,700
MT19CPV,"Car Derivative Ford",Ford,470
ML69OTM,"Small Peugeot",Peugeot,470
MH19GXS,"Small Peugeot",Peugeot,430
ML69EHT,"Small Peugeot",Peugeot,400
ML69OKX,"Small Peugeot",Peugeot,400
ML20LWR,"Small Peugeot",Peugeot,700
ML20DDA,"Small Peugeot",Peugeot,400
MT69WFV,"Small Peugeot",Peugeot,700
MK20OMZ,"Small Peugeot",Peugeot,400
MK69GWG,"Small Peugeot",Peugeot,400
DS70NVO,"Medium Vauxhall",Vauxhall,400
ML69OMX,"Small Peugeot",Peugeot,405
MA69HKW,"Small Peugeot",Peugeot,800
MA69YFW,"Small Peugeot",Peugeot,800
ML69OLW,"Small Peugeot",Peugeot,800
ML20XEA,"Small Peugeot",Peugeot,430
MA20XEP,"Small Peugeot",Peugeot,800
MX18WZT,"Small Peugeot",Peugeot,440
ML20ENV,"Small Vauxhall",Vauxhall,430
ML20LXF,"Small Peugeot",Peugeot,400
MGZ9372,"Small Vauxhall",Vauxhall,440
WR20OWB,"Large Ford",Ford,440
DY21OSA,"Small Peugeot",Peugeot,400
DL70LKU,"Small Vauxhall",Vauxhall,400
MA20XEO,"Small Peugeot",Peugeot,470
DP70NFO,"Small Vauxhall",Vauxhall,800
DL70LCA,"Small Vauxhall",Vauxhall,400
YG70EOH,"4x4 Toyota",Toyota,700
YG71OWC,"4x4 Toyota",Toyota,700
YG71PKV,"4x4 Toyota",Toyota,700
YG71XFT,"4x4 Toyota",Toyota,700
DS70XOF,"Small Vauxhall",Vauxhall,400
ML69OSC,"Small Peugeot",Peugeot,700
YD21OUH,"4x4 Toyota",Toyota,700
ML20VFT,"Small Peugeot",Peugeot,600
DV20NHT,"Medium Vauxhall",Vauxhall,800
MJ68ZBD,"Small Peugeot",Peugeot,430
DN70DZH,"Small Vauxhall",Vauxhall,400
MK20PDO,"Small Peugeot",Peugeot,810
DS19HYL,"Small Vauxhall",Vauxhall,430
MH19GXP,"Small Peugeot",Peugeot,700
MT19CTE,"Car Derivative Ford",Ford,810
DL70LLE,"Small Vauxhall",Vauxhall,810
YG71OWD,"4x4 Toyota",Toyota,700
BN68JZD,"4x4 Toyota",Toyota,600
MF18XWA,"Small Peugeot",Peugeot,440
BD20FLK,"Large Ford",Ford,440
ML69MYF,"Small Peugeot",Peugeot,810
ML69OAA,"Small Peugeot",Peugeot,400
DS70NRF,"Small Vauxhall",Vauxhall,400
ML69OOW,"Small Peugeot",Peugeot,430
MK20OMV,"Small Peugeot",Peugeot,800
DY70OZM,"Small Vauxhall",Vauxhall,700
MA20XES,"Small Peugeot",Peugeot,430
MF20PUA,"Small Peugeot",Peugeot,800
MK20PVX,"Small Peugeot",Peugeot,800
MGZ9383,"Small Vauxhall",Vauxhall,440
MV68XSA,"Large Ford",Ford,470
BN68LDL,"4x4 Toyota",Toyota,800
MB19GVX,"Small Peugeot",Peugeot,700
MGZ9376,"Small Vauxhall",Vauxhall,440
MGZ9371,"Small Vauxhall",Vauxhall,440
MGZ9387,"Small Vauxhall",Vauxhall,440
MGZ9384,"Small Vauxhall",Vauxhall,440
MGZ9390,"Small Vauxhall",Vauxhall,440
MGZ9377,"Small Vauxhall",Vauxhall,440
MT68UAJ,"Small Peugeot",Peugeot,700
MC18FVE,"Small Citroen",Citroen,700
MT69ORX,"Small Peugeot",Peugeot,700
DY40LGL,"Small Vauxhall",Vauxhall,440
ML20ENP,"Small Peugeot",Peugeot,600
MP19EER,"Small Peugeot",Peugeot,400
MK20OBD,"Small Peugeot",Peugeot,810
MW68HNU,"Small Peugeot",Peugeot,400
DL70LHV,"Small Vauxhall",Vauxhall,700
CA21LLX,"Small Citroen",Citroen,700
ML20XSF,"Small Peugeot",Peugeot,700
MD18LYF,"Small Peugeot",Peugeot,700
MT69WUJ,"Small Peugeot",Peugeot,700
DW19WPM,"Small Vauxhall",Vauxhall,470
ML69OJP,"Small Peugeot",Peugeot,700
DL20EFG,"Small Vauxhall",Vauxhall,700
YD21OVV,"4x4 Toyota",Toyota,800
DL20EHS,"Small Vauxhall",Vauxhall,600
ML69NBK,"Small Peugeot",Peugeot,405
MW68HVN,"Small Peugeot",Peugeot,700
MJ69ATF,"Small Peugeot",Peugeot,810
DS70XMG,"Small Vauxhall",Vauxhall,400
DS69RWZ,"Small Vauxhall",Vauxhall,430
DP19VAF,"Small Vauxhall",Vauxhall,700
DL69AOD,"Small Vauxhall",Vauxhall,600
