Type*	Category*	Sub category*	Odometer setting*	Manufacturer*	Model*	Fuel type*	Type of engine*	CO2 (g/km)	ADR test interval	PMI interval	Rubber integrity test	Regular check frequency	Service frequency*	Tank test interval
Amines Tank 	Trailers	Large trailer	KM	Commercial	Magner 	NA	NA		12 months	6 weeks	None		12 months	36 months
Curtain Sider 	Trailers	Large trailer	KM	Commercial	Schmitz/M&G	NA	NA		12 months	6 weeks	None		12 months	None
HYPO Tank 	Trailers	Large trailer	KM	Commercial	Clayton/Lakeland	NA	NA		12 months	6 weeks	12 months		12 months	36 months
Iso Tank - RL 	Trailers	Large trailer	KM	Commercial	Van Hool/UBH 	NA	NA		12 months	6 weeks	12 months		12 months	36 months
Iso Tank - ST	Trailers	Large trailer	KM	Commercial	UBH	NA	NA		12 months	6 weeks	None		12 months	36 months
Low Loader 	Trailers	Large trailer	KM	Commercial	Andover	NA	NA		12 months	6 weeks	None		12 months	None
Powder Tank 	Trailers	Large trailer	KM	Commercial	Spitzer	NA	NA		12 months	6 weeks	None		12 months	36 months
Rubber Lined Tank 	Trailers	Large trailer	KM	Commercial	Clayton/Lakeland	NA	NA		12 months	6 weeks	12 months		12 months	36 months
Skelly 	Trailers	Large trailer	KM	Commercial	Dennison	NA	NA		12 months	6 weeks	None		12 months	36 months
Stainless Steel Tank 	Trailers	Large trailer	KM	Commercial	Magyar/Clayton	NA	NA		12 months	6 weeks	None		12 months	36 months
Tipper 	Trailers	Large trailer	KM	Commercial	Crane Fruehauf/GEN	NA	NA		12 months	6 weeks	None		12 months	None
Trailer 	Trailers	Large trailer	KM	Commercial	Flat Bed	NA	NA		12 months	6 weeks	None		12 months	36 months
