Vehicles				Assets				Result
Coupling and Security - Safety Clip				Coupling and Security - Safety Clip				1
Coupling and Security - 5th Wheel				Coupling and Security - 5th Wheel				1
Coupling and Security - 5th Wheel				Coupling and Security - 5th Wheel				1
Coupling and Security - Landing Legs				Coupling and Security - Landing Legs				1
Coupling and Security - Landing Legs				Coupling and Security - Landing Legs				1
Coupling and Security - Landing Legs				Coupling and Security - Landing Legs				1
Coupling and Security - Winding Handle				Coupling and Security - Winding Handle				1
Electrical Coupling				Electrical Coupling				1
Air Coupling				Air Coupling				1
Brakes				Brakes				1
Leaks				Leaks				1
Leaks				Leaks				1
Leaks				Leaks				1
Tanker Washout				Tanker Washout				1
Rear Lights 				Rear Lights 				1
Rear Lights 				Rear Lights 				1
Rear Lights 				Rear Lights 				1
Rear Lights 				Rear Lights 				1
Rear Lights 				Rear Lights 				1
Rear Lights 				Rear Lights 				1
Brake Lights				Brake Lights				1
Brake Lights				Brake Lights				1
Brake Lights				Brake Lights				1
Brake Lights				Brake Lights				1
Brake Lights				Brake Lights				1
Brake Lights				Brake Lights				1
Reversing Lights				Reversing Lights				1
Reversing Lights				Reversing Lights				1
Reversing Lights				Reversing Lights				1
Reversing Lights				Reversing Lights				1
Reversing Lights				Reversing Lights				1
Reversing Lights				Reversing Lights				1
Fog Lights				Fog Lights				1
Fog Lights				Fog Lights				1
Fog Lights				Fog Lights				1
Fog Lights				Fog Lights				1
Fog Lights				Fog Lights				1
Fog Lights				Fog Lights				1
Marker Lights				Marker Lights				1
Marker Lights				Marker Lights				1
Marker Lights				Marker Lights				1
Marker Lights				Marker Lights				1
Marker Lights				Marker Lights				1
Marker Lights				Marker Lights				1
Reflectors				Reflectors				1
Reflectors				Reflectors				1
Reflectors				Reflectors				1
Reflectors				Reflectors				1
Number Plate Lights				Number Plate Lights				1
Number Plate Lights				Number Plate Lights				1
Number Plate Lights				Number Plate Lights				1
Number Plate Lights				Number Plate Lights				1
Number Plate Lights				Number Plate Lights				1
Number Plate Lights				Number Plate Lights				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Indicators and Hazard				Indicators and Hazard				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wheels and Tyres				Wheels and Tyres				1
Wings and Spray - Supression 				Wings and Spray - Supression 				1
Wings and Spray - Supression 				Wings and Spray - Supression 				1
Wings and Spray - Supression 				Wings and Spray - Supression 				1
Wings and Spray - Supression 				Wings and Spray - Supression 				1
Wings and Spray - Underrun Bar 				Wings and Spray - Underrun Bar 				1
Wings and Spray - Underrun Bar 				Wings and Spray - Underrun Bar 				1
Wings and Spray - Sideguard 				Wings and Spray - Sideguard 				1
Wings and Spray - Sideguard 				Wings and Spray - Sideguard 				1
Wings and Spray - Sideguard 				Wings and Spray - Sideguard 				1
Wings and Spray - Sideguard 				Wings and Spray - Sideguard 				1
Wings and Spray - Sideguard 				Wings and Spray - Sideguard 				1
Wings and Spray - Sideguard 				Wings and Spray - Sideguard 				1
Ladders				Ladders				1
Ladders				Ladders				1
Handrails				Handrails				1
Handrails				Handrails				1
Handrails				Handrails				1
Catwalks				Catwalks				1
Catwalks				Catwalks				1
Valves, Gauges and Man Lids - Leakages				Valves, Gauges and Man Lids - Leakages				1
Valves, Gauges and Man Lids - Leakages				Valves, Gauges and Man Lids - Leakages				1
Valves - Pressure Release Valve				Valves - Pressure Release Valve				1
Valves - Pressure Gauge				Valves - Pressure Gauge				1
Valves - Non-Return Valves				Valves - Non-Return Valves				1
Valves - Control Valves				Valves - Control Valves				1
Valves - Foot Valve				Valves - Foot Valve				1
Valves - Saunders/Butterfly Valve				Valves - Saunders/Butterfly Valve				1
Manlids				Manlids				1
Inlet Pipe				Inlet Pipe				1
Outlet Pipe				Outlet Pipe				1
Hose Rack				Hose Rack				1
Hoses Straps				Hoses Straps				1
Hoses				Hoses				1
Hoses				Hoses				1
Hose Numbers				Hose Numbers				1
Hose Test Tag				Hose Test Tag				1
Fire Extinguisher - Pin and Seal				Fire Extinguisher - Pin and Seal				1
Fire Extinguisher				Fire Extinguisher				1
Fire Extinguisher				Fire Extinguisher				1
Fire Extinguisher				Fire Extinguisher				1
Fire Extinguisher				Fire Extinguisher				1
Plate Certificate				Plate Certificate				1
Plate Certificate				Plate Certificate				1
ADR Certificate				ADR Certificate				1
ADR Certificate				ADR Certificate				1
Kemler Boards				Kemler Boards				1
Kemler Boards				Kemler Boards				1
Haz Board				Haz Board				1
UN Numbers				UN Numbers				1
Engine or Exhaust Smoke				Ancillary Equipment				0
Engine or Exhaust Smoke								0
Engine or Exhaust Smoke								0
Dash Status and Warnings								0
DVS								0
Electrical Lines								0
Air Lines								0
Discharge Equipment - Air Compressor								0
								1
								0
								0
								0
								0
								0
