"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"24/02/2023 08:58",BK22VN,74.99,"Not imported vehicle not recognised"
"21/02/2023 14:46",BT70BVE,79.07,"Not imported vehicle not recognised"
"22/02/2023 07:02",BT70VVF,61.12,"Not imported vehicle not recognised"
"20/02/2023 15:45",CA22VTF,77.7,"Not imported vehicle not recognised"
"21/02/2023 07:50",CA22WCP,72.72,"Not imported vehicle not recognised"
"20/02/2023 08:21",CK70ERZ,46.1,"Not imported vehicle not recognised"
"23/02/2023 08:22",CN69HTT,53.82,"Not imported vehicle not recognised"
"21/02/2023 17:29",CT68ORU,65.6,"Not imported vehicle not recognised"
"24/02/2023 07:41",DL21KFD,113.77,"Not imported vehicle not recognised"
"22/02/2023 08:21",DL21KFD,113.25,"Not imported vehicle not recognised"
"20/02/2023 08:33",DL21KFD,109.86,"Not imported vehicle not recognised"
"24/02/2023 08:10",DL22YKU,81.39,"Not imported vehicle not recognised"
"24/02/2023 11:23",DT19BSX,55.34,"Not imported vehicle not recognised"
"24/02/2023 12:01",DT19NPX,69.38,"Not imported vehicle not recognised"
"20/02/2023 15:34",DY70UES,54.62,"Not imported vehicle not recognised"
"21/02/2023 11:48",LG12LSE,82.48,"Not imported vehicle not recognised"
"21/02/2023 17:34",M14MCV,33.88,"Not imported vehicle not recognised"
"20/02/2023 16:11",MP70LFG,66.2,"Not imported vehicle not recognised"
"22/02/2023 07:18",NV70PNE,78.95,"Not imported vehicle not recognised"
"26/02/2023 12:14",PL18UET,69.63,"Not imported vehicle not recognised"
"22/02/2023 07:55",SA67TYS,94.15,"Not imported vehicle not recognised"
"22/02/2023 10:05",SA70XVR,68.1,"Not imported vehicle not recognised"
"23/02/2023 15:05",SB69BVO,51.7,"Not imported vehicle not recognised"
"23/02/2023 11:50",SG20OJT,79.09,"Not imported vehicle not recognised"
"23/02/2023 09:59",WP70UAN,74.02,"Not imported vehicle not recognised"
"24/02/2023 14:52",X28KEV,65.4,"Not imported vehicle not recognised"
"21/02/2023 18:01",X28KEV,90.69,"Not imported vehicle not recognised"
"23/02/2023 08:33",YJ19CBG,60.44,"Not imported vehicle not recognised"
"24/02/2023 07:03",YP72FBF,33.25,"Not imported vehicle not recognised"
"21/02/2023 17:22",YP72FBU,40.99,"Not imported vehicle not recognised"
"24/02/2023 12:00",YP72GBY,36.44,"Not imported vehicle not recognised"
"23/02/2023 11:50",YP72GVN,35.94,"Not imported vehicle not recognised"
"22/02/2023 14:25",YP72GVV,39.46,"Not imported vehicle not recognised"
"24/02/2023 13:19",YR72RYK,26.16,"Not imported vehicle not recognised"
"22/02/2023 12:38",YR72RYK,24.4,"Not imported vehicle not recognised"
"20/02/2023 08:35",YR72RYK,33.82,"Not imported vehicle not recognised"
"20/02/2023 17:38",YR72RYM,35.85,"Not imported vehicle not recognised"
